PID,SMILES,HOMO,LUMO,S1,T1,TADF-likeness
6801645,O=C1C=CC=CC1=CNc1ccc2nc(-c3ccc(-c4nc(-c5ccccc5)c5cc(NC=C6C=CC=CC6=O)ccc5n4)cc3)nc(-c3ccccc3)c2c1,-5.2885326844675,-2.4544669315100003,2.56,1.4829,75.8546371459961
20697951,c1ccc(C(c2ccccc2)c2ccc(Sc3ccc(C(c4ccccc4)c4ccccc4)cc3)cc2)cc1,-5.5440475900870005,-0.516472088249,4.3861,3.3802,79.32856750488281
140754912,Cn1ccnc1-c1cccc(Oc2ccc3c4cc(C(C)(C)C)cc5c4n(c3c2)-c2ncccc2C5(C)C)c1,-5.2047216185135,-0.6876317002135001,3.9134,3.0489,78.3166275024414
118503607,c1ccc2cc3c(cc2c1)sc1ccc(-c2c4ccccc4c(-c4cc5ccc6ccccc6c5c5ccccc45)c4ccccc24)cc13,-5.181591941221,-1.6963577440170001,3.1293,1.7311,77.46331024169922
139532514,Cc1cc(-c2ccc(Oc3ccccc3)cc2)ccc1Sc1ccc(-c2ccc(Oc3ccccc3)cc2)cc1C,-5.3445881376705,-1.042740275116,3.743,3.0507,76.21601867675781
149037051,c1ccc2c(c1)oc1cccc(-c3c4ccccc4c(-c4ccc5oc6ccc7oc8ccccc8c7c6c5c4)c4ccccc34)c12,-5.2194157664405,-1.7246575844690002,3.147,1.7334,78.39742279052734
15353009,Cc1ccc(S(=O)(=O)N2c3ccccc3CC2(C)/C=C/Cc2ccccc2)cc1,-5.663233456606,-0.9330783933645,4.1472,3.4681,75.47689819335938
161556090,CC1=NC(C)=NC(c2ccc(-n3c4cc(N5c6ccccc6C6C=CC=CC65C)ccc4c4ccc(-n5c6ccccc6c6ccccc65)cc43)cc2C#N)=CC1,-4.818319950803501,-1.6732280667245,2.7278,2.5002,78.21421813964844
142310353,C=Cc1sc2ccc(-c3ccc4sc5c(N(c6ccccc6)c6ccccc6)cc(N(C(=CCC)CCC)c6ccccc6)cc5c4c3)cc2c1C=CC,-4.8659398746410005,-1.3222011995795,3.2584,2.3541,77.50704193115234
153165521,CC=CC=CC=C(C)c1cc(-c2ccc(-n3c4ccccc4c4c5ccccc5c5c6ccccc6sc5c43)cc2)cc(-c2ccccn2)n1,-5.190299584437,-1.7232970152165,3.1607,1.7522,79.40434265136719
156514726,c1ccc(-c2cc(-c3ccccc3)cc(-c3ccc(-c4ccc(-c5cc6c7ccc8ccccc8c7sc6c6nc7cc8ccccc8cc7n56)cc4)cc3)c2)cc1,-4.982404602655,-1.8122782443300003,2.7649,1.916,76.1195068359375
122426873,c1ccc2c(-c3c4ccccc4c(-c4ccc5cc(-c6cc7c8ccccc8sc7c7c6sc6ccccc67)ccc5c4)c4ccccc34)cccc2c1,-5.143496002151,-1.6688742451165002,3.1206,1.7291,77.17626190185547
139435923,c1ccc2cc3c(cc2c1)c1cc2c(cc1c1cccnc13)sc1ccccc12,-5.426494406671,-1.6051996040995,3.3484,2.2119,79.75064086914062
140629363,Cc1ccc(-c2ccc([Si](c3ccccc3)(c3ccccc3)c3ccccc3)cc2)nc1,-6.0112670713955,-1.1687289878975,4.9337,3.0368,79.21941375732422
129292045,c1ccc(-c2nc(-c3cccc4oc5ccc(-c6ccc7c(c6)c6ccccc6n7-c6ccccc6)cc5c34)nc(-c3cccc4sc5ccccc5c34)n2)cc1,-5.161455516284,-1.9456140310749999,2.8116,2.6462,79.32894897460938
154978525,c1ccc(-c2nc(-c3ccccc3)nc(-c3ccc4oc5cc(-c6nc(-c7ccccc7)nc7c6sc6ccccc67)ccc5c4c3)n2)cc1,-5.873849576893,-1.9812609454905001,3.4034,2.7299,77.4693603515625
51468961,CCc1ccc(S(=O)(=O)c2nnn3c2nc(N[C@@H](C)c2ccccc2)c2ccccc23)cc1,-6.043376505754501,-1.8321425554165,3.6951,2.9034,77.69889831542969
12325760,COc1ccc(-c2oc(-c3c(C)c(C)cc(C)c3C)c3ccccc23)cc1OC,-4.561172362081,-1.267506315629,2.9849,1.6483,76.46617126464844
56593388,CC(C)Oc1ccc(-c2ccn3c(-c4ccc5nccnc5c4)cnc3c2)cc1,-5.245810809939,-2.0141867214010003,2.8362,2.2801,78.65382385253906
142569452,c1ccc2c(c1)ccc1[nH]c3c(-c4cccc5c(-c6cccc7oc8ccccc8c67)cccc45)cccc3c12,-5.2863557736635,-1.3368953475065,3.4717,2.5879,75.49687194824219
159691699,c1ccc(-c2nc(-c3ccccc3)nc(-c3ccc(-c4ccc5c6c4ccc4sc7cccc(c7c46)S5)cc3)n2)cc1,-5.108121201586,-1.9341852493540002,2.8254,2.2029,78.20063781738281
142646027,CCOn1nnnc1-c1ccc(COc2cccc(OCc3ccc4ccccc4n3)c2)cc1,-5.8126239605305,-1.516218374986,3.8474,2.7982,75.29253387451172
144508606,C=Cc1c(C=CC)sc2ccc(-n3c(-c4ccccc4)cc4ccc(-c5ccc6c(c5)cc(-c5ccccc5)n6-c5cccc6c5C=CCC6)cc43)cc12,-4.8934233735415,-1.242471841383,3.2305,2.5916,79.24664306640625
129130380,CC(C)(C)c1ccc(N(c2ccc(C(C)(C)C)cc2)c2cc3c(c4sc5ccccc5c24)-c2c(ccc4c2sc2ccccc24)C32c3ccccc3-c3ccccc32)cc1,-4.8847157303255,-1.300159977689,3.0555,2.4639,79.59813690185547
156419918,c1ccc(-c2c3ccccc3c(-c3ccc4c(c3)sc3c(-c5c6ccccc6c(-c6ccc(-c7cccc8ccccc78)cc6)c6ccccc56)cccc34)c3ccccc23)cc1,-5.122815349513,-1.687650100801,3.1194,1.7308,77.59065246582031
68128653,Cc1ccc(C)c(COc2ccc(N(Cc3cc(C)ccc3C)Cc3cc(C)ccc3C)cc2)c1,-4.8953281704950005,-0.089253342964,4.1885,3.4891,77.41544342041016
139985786,C(=C(Nc1c(-c2ccccc2)cccc1-c1ccccc1)c1ccccc1)c1nc(-c2ccccc2)cs1,-5.0893453459015,-1.4422034076499999,3.2738,2.1059,77.37664031982422
153457791,CC(C)(C)c1nc(-c2cccc(-c3cccc(-c4cccc5c4sc4ccccc45)c3)c2)c2oc3c4ccccc4ccc3c2n1,-5.676839149131,-1.8740480883935,3.4958,2.7235,75.20259857177734
89829498,C1=CC2NC(c3ccc(-c4c5oc6ccccc6c5cc5c4oc4ccccc45)cc3)=C(C3=CCCC=C3)N2C=C1,-4.4270202337845,-1.37145380652,2.636,1.8547,78.77629852294922
145529859,C=C(CC)c1ccc2c(c1)nc(Nc1ccc(C)cc1)n2C(C)(C)c1ccccc1,-4.9511115098475,-0.36436044581950006,4.0592,3.1923,77.65016174316406
